20:05:14 11:53:38 LogIn User: manuelOriggi, with id: 2
20:05:14 12:05:00 LogIn User: manuelOriggi, with id: 2
20:05:14 12:26:09 LogIn User: manuelOriggi, with id: 2
20:05:14 01:48:34 LogIn User: manuelOriggi, with id: 2
20:05:14 03:33:21 LogIn User: manuelOriggi, with id: 2
20:05:14 05:37:31 LogIn User: manuelOriggi, with id: 2
20:05:14 06:45:18 LogIn User: manuelOriggi, with id: 2
20:06:04 11:53:12 LogIn User: manuelOriggi, with id: 2
20:06:04 02:16:59 LogIn User: manuelOriggi, with id: 2
20:06:04 02:24:31 LogIn User: manuelOriggi, with id: 2
20:06:04 05:42:01 LogIn User: manuelOriggi, with id: 2
20:06:04 06:36:21 LogIn User: manuelOriggi, with id: 2
